Cliente,Orden,Archivo_OC,Codigo,Producto,OC_Unidades_documento,Pendiente_estimado_unidades,Precio_OC,Pendiente_estimado_USD
Corporación El Rosado,4618191677,PEDIDO ROSADO 30.07 (1).pdf,1140001.0,Aceite de Coco Sunshine 270ml - Ref. 7861003037553,2004.0,2004.0,2.75,5511.0
Corporación El Rosado,4618213243,PDIDO ROSADO ZICO 03.08 (1).pdf,1140001.0,Aceite de Coco Sunshine 270ml - Ref. 7861003037553,13824.0,13824.0,2.75,38016.0
Corporación El Rosado,4618234592,PDIDO ROSADO ZICO 06.08 (1).pdf,1140001.0,Aceite de Coco Sunshine 270ml - Ref. 7861003037553,2028.0,2028.0,2.75,5577.0
Corporación El Rosado,4618256901,"PEDIDO ROSASO ALOAG 13,08 (1).pdf",1140001.0,Aceite de Coco Sunshine 270ml - Ref. 7861003037553,13824.0,13824.0,2.75,38016.0
Corporación El Rosado,4618276693,"PEDIDO ROSASO ALOAG 13,08 (1).pdf",1140001.0,Aceite de Coco Sunshine 270ml - Ref. 7861003037553,2040.0,2040.0,2.75,5610.0
Corporación El Rosado,4618360687,pedidos_118322 (63) (3).pdf,1140001.0,Aceite de Coco Sunshine 270ml - Ref. 7861003037553,2088.0,2088.0,2.75,5742.0
Corporación El Rosado,5401470322,PEDIDO ROSADO 30.07 (1).pdf,12010012.0,Miel de Datil 300g - Ref. 7862123515594,60.0,60.0,5.6499999999999995,338.99999999999994
Corporación El Rosado,5401470322,PEDIDO ROSADO 30.07 (1).pdf,13020002.0,Semillas de Linaza Zico 100g - Ref. 7862123516447,180.0,18.0,0.4,7.2
Corporación El Rosado,5401470323,PEDIDO ROSADO 30.07 (1).pdf,3120002.0,Avenut Choco Avellana Crema de Almendra y Avellana sin azucar 190g - Ref. 7862123513705,48.0,48.0,5.29,253.92000000000002
Corporación El Rosado,5401471448,PDIDO ROSADO ZICO 03.08 (1).pdf,13020002.0,Semillas de Linaza Zico 100g - Ref. 7862123516447,180.0,18.0,0.4,7.2
Corporación El Rosado,5401471570,PDIDO ROSADO ZICO 03.08 (1).pdf,12010012.0,Miel de Datil 300g - Ref. 7862123515594,324.0,324.0,5.6499999999999995,1830.6
