Codigo,Producto,Unidad_Manejo,Forecast_Unidades,OC_Unidades,Facturado_Unidades,OC_vs_Forecast,Facturado_vs_Forecast,Facturado_vs_OC,Brecha_Forecast_Facturado,Brecha_OC_Facturado,Estado,Barcode,Precio_OC,Pendiente_Unidades_OC,Pendiente_USD
1010001,Aceite de Coco Karay 130ml - Ref. 7862123510001,24,960.0,480.0,1440.0,0.5,1.5,3.0,-480.0,-960.0,Sobre forecast,7862123510001,3.47,0.0,0.0
1010003,Aceite de Coco Karay 450ml Caja x 12 - Ref. 7862123510025,12,0.0,0.0,0.0,,,,0.0,0.0,Sin forecast,7862123510025,8.39,0.0,0.0
1010004,Aceite de Coco Sachet Karay 15ml. Ref. 7862123510759,24,8280.0,9360.0,8304.0,1.1304347826086956,1.0028985507246375,0.8871794871794871,-24.0,1056.0,En meta,7862123510759,0.34,1056.0,359.04
1010008,Aceite de Linaza Karay 250ml - Ref. 7862123510506,12,940.0,1428.0,1092.0,1.5191489361702128,1.1617021276595745,0.7647058823529411,-152.0,336.0,Sobre forecast,7862123510506,3.33,336.0,1118.88
1010011,Aceite Ajonjolí Karay 250ml - Ref. 7862123510568,12,600.0,384.0,480.0,0.64,0.8,1.25,120.0,-96.0,Bajo,7862123510568,4.79,0.0,0.0
1010016,Aceite de Coco Liquido MCT Karay 250ml Ref.7862123511916,12,1100.0,564.0,588.0,0.5127272727272727,0.5345454545454545,1.0425531914893618,512.0,-24.0,Crítico,7862123511916,5.31,0.0,0.0
1010017,Aceite de Aguacate Karay 250ml - Ref. 7862123512593,12,2400.0,1260.0,1260.0,0.525,0.525,1.0,1140.0,0.0,Crítico,7862123512593,4.4,0.0,0.0
1010021,Aceite de Coco Karay Pack x2 - 450mlx2 - 180g Producto Gratis - Ref. 7862123514641,6,360.0,60.0,60.0,0.1666666666666666,0.1666666666666666,1.0,300.0,0.0,Crítico,7862123514641,13.59,0.0,0.0
1010024,Aceite de Girasol Air Fryer Spray Karay 250ml - Ref. 7862123515167,12,0.0,480.0,0.0,,,0.0,0.0,480.0,Sin forecast,7862123515167,2.15,480.0,1032.0
1010026,Aceite de Coco Sin Sabor Ni Olor Zico 220ml - Ref. 7862123515563,12,1200.0,0.0,0.0,0.0,0.0,,1200.0,0.0,Crítico,7862123515563,,0.0,
1010028,Aceite de Coco Líquido MCT Karay 500ml - Ref. 7862123515990,6,360.0,510.0,510.0,1.4166666666666667,1.4166666666666667,1.0,-150.0,0.0,Sobre forecast,7862123515990,11.09,0.0,0.0
1010029,Aceite de Aguacate Virgen Karay 500ml - Ref. 7862123515952,6,600.0,270.0,270.0,0.45,0.45,1.0,330.0,0.0,Crítico,7862123515952,8.97,0.0,0.0
1010030,Aceite de Coco Karay 450ml Caja x 24 - Ref. 7862123510025,24,983.0,120.0,624.0,0.1220752797558494,0.6347914547304171,5.2,359.0,-504.0,Crítico,7862123510025,8.39,0.0,0.0
1010031,Aceite de Coco Extra Virgen Karay 100ml - Ref. 7862123515587,24,2720.0,4464.0,3912.0,1.6411764705882352,1.438235294117647,0.8763440860215054,-1192.0,552.0,Sobre forecast,7862123515587,1.9768817204301075,552.0,1091.2387096774194
1010032,Aceite de Aguacate Spray 180g Karay - Ref. 7862123513439,12,0.0,0.0,0.0,,,,0.0,0.0,Sin forecast,7862123513439,,0.0,
1010033,Aceite de Coco Karay 190ml - Ref. 7862123510018,24,5276.0,4728.0,3000.0,0.8961334344200151,0.5686125852918877,0.6345177664974619,2276.0,1728.0,Crítico,7862123510018,5.566979166666667,1728.0,9619.74
1020001,Aceite de Coco Zico 650ml - Ref. 7862123513309,6,120.0,0.0,0.0,0.0,0.0,,120.0,0.0,Crítico,7862123513309,,0.0,
1020002,Aceite de coco Zico 450ml - Ref. 7862123510391,12,2467.0,1116.0,1404.0,0.4523713011755168,0.5691122821240373,1.2580645161290325,1063.0,-288.0,Crítico,7862123510391,7.0,0.0,0.0
1020008,Aceite de Linaza Zico 17kg,1,10.5,0.0,2.0,0.0,0.1904761904761904,,8.5,-2.0,Crítico,,,0.0,
1020013,Aceite De Coco Para Fritura Zico 220ml - Ref. 7862123515570,12,1020.0,600.0,792.0,0.5882352941176471,0.7764705882352941,1.32,228.0,-192.0,Bajo,7862123515570,,0.0,
1020014,Aceite de Aguacate Zico 155ml - Ref. 786213515495,12,1091.0,540.0,540.0,0.4949587534372135,0.4949587534372135,1.0,551.0,0.0,Crítico,,,0.0,
1020015,Aceite de Coco Sin Olor ni Sabor Karay 220ml - Ref. 7862123515600,12,0.0,180.0,180.0,,,1.0,-180.0,0.0,Sin forecast,7862123515600,5.37,0.0,0.0
1020017,Aceite De Coco MCT Spray Karay 250ml - Ref. 7862123515846,12,0.0,96.0,108.0,,,1.125,-108.0,-12.0,Sin forecast,7862123515846,,0.0,
1020018,Aceite de Coco Zico Pack x2 - 900ml - Ref. 7862123515815,6,1200.0,570.0,576.0,0.475,0.48,1.0105263157894735,624.0,-6.0,Crítico,7862123515815,,0.0,
1020019,Aceite de Coco Zico 190g - Ref. 7862123515891,12,11103.0,7524.0,7584.0,0.6776546879221832,0.6830586328019455,1.0079744816586922,3519.0,-60.0,Crítico,7862123515891,2.52,0.0,0.0
1020020,Aceite de Coco Zico 100ml - Ref. 7862123514139,24,3742.0,2592.0,2592.0,0.6926777124532336,0.6926777124532336,1.0,1150.0,0.0,Crítico,7862123514139,1.73,0.0,0.0
1030001,Aceite de coco Supermaxi 450ml - Ref. 7861223805345,12,840.0,360.0,600.0,0.4285714285714285,0.7142857142857143,1.6666666666666667,240.0,-240.0,Bajo,7861223805345,3.9400000000000004,0.0,0.0
1030002,Aceite de coco Supermaxi 274ml - Ref.7861223805352,12,924.0,240.0,480.0,0.2597402597402597,0.5194805194805194,2.0,444.0,-240.0,Crítico,7861223805352,2.37,0.0,0.0
